code,name,country,slug
CAI,Corendon Airlines,Turkey,CAI
CB,Trans Caribbean Air,USA,CB
CBO,Kitty Hawk International.inc.,USA,CBO
CC,CM Airlines,Honduras,CC
CC1,McCaffertys Greyhound Pty Ltd   ,Australia,CC1
CCG,Central Connect Airlines   ,Czech Republic,CCG
CCI,Capital Cargo International Airlines   ,USA,CCI
CCN,Classic Airways     ,United Kingdom,CCN
CCO,Air Atlanta Icelandic   ,Iceland,CCO
CD,Alliance Air   ,India,CD
CDE,Comed Aviation     ,United Kingdom,CDE
CDR,Canadian Regional Airlines   ,Canada,CDR
CE,Chalair,France,CE
CER,Cetraca Air Service,Congo Democratic Republic of,CER
CF,City Airline,Sweden,CF
CFB,City Bird France   ,France,CFB
CG,Airlines Of Papua New Guinea,Papua New Guinea,CG
CGH,Air Guizhou   ,China,CGH
CGK,Click Airways,United Arab Emirates,CGK
CGL,Seagle Air,Slovakia,CGL
CGO,Caicos Caribbean Airways,USA,CGO
CGW,Air Great Wall   ,China,CGW
CH,Bemidji Airlines,USA,CH
CHC,China Ocean Helicopters   ,China,CHC
CHF,Chitaavia   ,Russian Federation,CHF
CHO,Ukraine Air Service,Ukraine,CHO
CHP,AVIACSA,Mexico,CHP
CHQ,Chautauqua Airlines     ,USA,CHQ
CI,China Airlines,Chinese Taipei,CI
CIB,Condor Berlin   ,Germany,CIB
CIC,ICC Air Cargo Canada   ,Canada,CIC
CIO,Ciao Fly   ,Italy,CIO
CJ,BA Cityflyer,United Kingdom,CJ
CJG,Zhejiang Airlines   ,China,CJG
CK,China Cargo Airlines,China,CK
CKT,Caledonian Airways     ,United Kingdom,CKT
CL,Lufthansa Cityline GMBH   ,Germany,CL
CLA,Color Air     ,Norway,CLA
CLG,Chalair,France,CLG
CLV,Skybus                                 ,Greece,CLV
CM,Copa Airlines,Panama,CM
CME,Prince Edward Air,Canada,CME
CMV,Calima Aviacion,Spain,CMV
CN,Grand China Air,China,CN
CND,Corendon DUTCH Airlines,Netherlands,CND
CNJ,Nanjing Airlines   ,China,CNJ
CNK,Sunwest International Aviation Services,Canada,CNK
CNO,SAS Norway,Norway,CNO
CNX,All Canada Express   ,Canada,CNX
CO,Continental Airlines,USA,CO
CO1,Continental Express Bus   ,USA,CO1
COC,Cirrus     ,Germany,COC
COE,Expressjet   ,USA,COE
CP,"Compass Airlines, Inc.",USA,CP
CP1,Ontario Regional Airlines   ,Canada,CP1
CP2,CP CRAL/Partners   ,Canada,CP2
CP3,Northern     ,Canada,CP3
CP4,Western Regional Airlines     ,Canada,CP4
CPB,Corporate Express Airlines,Canada,CPB
CPN,Caspian Airlines   ,Iran Islamic Republic of,CPN
CPT,Corporate Air (US)   ,USA,CPT
CQ,Czech Connect Airlines,Czech Republic,CQ
CRA,Cronosair,Equatorial Guinea,CRA
CRG,Cargoitalia,Italy,CRG
CS,Continental Micronesia,Guam,CS
CSC,Sichuan Airlines   ,China,CSC
CT,Alitalia CityLiner S.p.A.,Italy,CT
CTB,City Bird   ,Belgium,CTB
CTH,China General Aviation Corp   ,China,CTH
CU,Cubana,Cuba,CU
CUA,China United Airlines,China,CUA
CUT,Court Air   ,South Africa,CUT
CV,Cargolux Airlines International,Luxembourg,CV
CVA,Air Chathams,New Zealand,CVA
CVO,Cargolux Airlines International,Luxembourg,CVO
CW,Chinggis Airways,Mongolia,CW
CWU,Wuhan Air Lines   ,China,CWU
CWW,Royal Cargo   ,Canada,CWW
CX,Cathay Pacific Airways,Hong Kong (sar) China,CX
CXT,Coastal Air Transport,"Virgin Islands, US",CXT
CY,Cyprus Airways,Cyprus,CY
CYH,Yunnan Airlines   ,China,CYH
CYL,Air One CityLiner,Italy,CYL
CYN,Zhongyuan Airlines   ,China,CYN
CYZ,China Postal Airlines   ,China,CYZ
CZ,China Southern Airlines,China,CZ
CZ1,Shantou Airlines   ,China,CZ1
D2,Severstal Aircompany,Russian Federation,D2
D3,Daallo Airlines,Djibouti,D3
D4,Alidaunia,Italy,D4
D5,DHL Aero Expreso S.A.,Panama,D5
D6,Inter Air,South Africa,D6
D61,ITAB - International Trans Air Business,Congo Democratic Republic of,D61
D7,Airasia X,Malaysia,D7
D8,Djibouti Airlines,Djibouti,D8
D9,DONAVIA,Russian Federation,D9
DA,Air Georgia,Georgia,DA
DAG,Daghestan Airlines,Russian Federation,DAG
DAL,Delta Express   ,USA,DAL
DAT,Delta Air Transport     ,Belgium,DAT
DB,HOP! Brit Air,France,DB
DBK,Dubrovnik Airline,Croatia,DBK
DBY,Britannia Airways GmbH     ,Germany,DBY
DC,Braathens Regional AB,Sweden,DC
DC1,Gotlandsflyg,Sweden,DC1
DC2,Kullaflyg,Sweden,DC2
DCT,Directflight,United Kingdom,DCT
DD,Nok Air,Thailand,DD
DE,Condor Flugdienst,Germany,DE
DE1,Condor Berlin     ,Germany,DE1
DEL,Carib Aviation   ,"Antigua and Barbuda, Leeward Islands",DEL
DET,D.E.T.A. Air JSC,Kazakhstan,DET
DF,AeBal   ,Spain,DF
DG,Tigerair Philippines,Philippines,DG
DGD,MB Air Services & Logistics,United Arab Emirates,DGD
DGO,"Custom Air Transport, Inc",USA,DGO
DH,Douniah Airlines,Mali,DH
DHK,DHL Air,United Kingdom,DHK
DI,D.E.T.A. Air JSC,Kazakhstan,DI
DJ,Virgin Australia Airlines,Australia,DJ
DJ1,Pacific Blue Airlines   ,New Zealand,DJ1
DJ2,Polynesian Blue   ,Samoa,DJ2
DK,Eastland Air,Australia,DK
DKN,Kingfisher Red,India,DKN
DL,Delta Air Lines,USA,DL
DL2,Song   ,USA,DL2
DLU,Aerolineas del Sur,Chile,DLU
DM,Sterling Blue,Denmark,DM
DM1,Maersk Helicopters     ,Denmark,DM1
DN,Senegal Airlines,Senegal,DN
DNM,Denim Air,Netherlands,DNM
DNO,Aztec Airways,USA,DNO
DO,Discovery Airways Ltd,Nigeria,DO
DP,First Choice Airways,United Kingdom,DP
DQ,D-Connection,Kenya,DQ
DR,Ruili Airlines,China,DR
DRO,Mediterranean Air Service,Tunisia,DRO
DS,easyJet Switzerland SA,Switzerland,DS
DSB,Air Senegal     ,Senegal,DSB
DSL,Diamond Sakha Airlines     ,Russian Federation,DSL
DSO,DHL Aero Expreso S.A.,Panama,DSO
DT,TAAG Angola Airlines,Angola,DT
DTH,Tassili Airlines   ,Algeria,DTH
DU,Norwegian Long Haul A/S,Norway,DU
DV,Air Company SCAT,Kazakhstan,DV
DV1,North Sound Express   ,"Virgin Islands, British",DV1
DW,Aero Charter,Ukraine,DW
DX,Danish Air Transport,Denmark,DX
DY,Norwegian Air Shuttle,Norway,DY
DZ,Donghai Airlines,China,DZ
E0,Eos Airlines,USA,E0
E2,Eagle Atlantic Airlines,Ghana,E2
E3,Sabaidee Airways Co Ltd,Thailand,E3
E4,Elysian Airlines,Senegal,E4
E5,Air Arabia Egypt,Egypt,E5
E6,Aviaexpresscruise Airlines,Russian Federation,E6
E61,Ajara Airlines   ,Georgia,E61
E7,Equaflight,Congo Democratic Republic of,E7
E8,City Airways,Thailand,E8
E9,Evelop Airlines S.L.,Spain,E9
EA,East Horizon Airlines,Afghanistan,EA
EAA,Kyrgyz Airways,Kyrgyzstan,EAA
EAF,Palmair,United Kingdom,EAF
EAG,Eagle Airways   ,New Zealand,EAG
EAQ,Eastern Australia Airlines   ,Australia,EAQ
EAW,European Airways     ,United Kingdom,EAW
EB,Pullmantur Air,Spain,EB
EBU,Delta AirElite   ,USA,EBU
EC,Openskies,United Kingdom,EC
ECA,EuroCypria Airlines   ,Cyprus,ECA
ECO,Eastern Australia Airlines     ,Australia,ECO
ED,Air Dominicana,Dominican Republic,ED
EDA,Exec Direct Aviation,Jamaica,EDA
EDO,Andes Airlines,Ecuador,EDO
EDW,Edelweiss Air,Switzerland,EDW
EE,Eastern SkyJets,United Arab Emirates,EE
EEX,Avanti Airlines   ,Germany,EEX
EEZ,Eurofly   ,Italy,EEZ
EF,Eznis Airways,Mongolia,EF
EG,CJSC East Air,Tajikistan,EG
EGA,Ecuato Guineana de Aviacion   ,Equatorial Guinea,EGA
EGN,Eagle Aviation   ,France,EGN
EH,Air Nippon Network,Japan,EH
EHN,East Horizon Airlines,Afghanistan,EHN
EI,Aer Lingus,Ireland Republic of,EI
EI1,Aer Lingus Commuter     ,Ireland Republic of,EI1
EJ,New England Airlines,USA,EJ
EK,Emirates,United Arab Emirates,EK
EKA,Equaflight,Congo,EKA
EL,Air Nippon,Japan,EL
ELC,Small Planet Airlines,Lithuania,ELC
ELO,Export Air Del Peru SA,USA,ELO
EM,Aero Benin,Benin,EM
EMO,Empire Airlines   ,USA,EMO
EN,Air Dolomiti,Italy,EN
EO,FlyCongo,Congo Democratic Republic of,EO
EO1,Air Tropiques   ,Congo Democratic Republic of,EO1
EP,Iran Aseman Airlines,Iran Islamic Republic of,EP
EPA,Farnair Germany   ,Germany,EPA
EQ,TAME Linea Aerea del Ecuador,Ecuador,EQ
EQL,Air Sao Tome e Principe   ,Sao Tome and Principe,EQL
ER,"Astar Air Cargo, Inc.   ",USA,ER
ER1,DHL Air   ,United Kingdom,ER1
ER2,ELAN     ,United Kingdom,ER2
ERO,Sun D'Or International Airlines     ,Israel,ERO
ERT,Eritrean Airlines     ,Eritrea,ERT
ES,DHL International E.C.,Bahrain,ES
ESA,Seagreen Air Transport     ,"Antigua and Barbuda, Leeward Islands",ESA
ESC,El Sol de America   ,Venezuela,ESC
ESO,DHL International E.C.,Bahrain,ESO
EST,Flugfelag Austerlands     ,Iceland,EST
ET,Ethiopian Airlines,Ethiopia,ET
EU,Chengdu Airlines,China,EU
EUK,Air Atlanta Europe Ltd.   ,United Kingdom,EUK
EUL,Euralair   ,France,EUL
EUP,EuroAir,Greece,EUP
EUY,EU Jet   ,Ireland Republic of,EUY
EV,"ExpressJet Airlines, Inc.",USA,EV
EW,Eurowings,Germany,EW
EX,Air Santo Domingo,Dominican Republic,EX
EXK,Executive Airlines/American Eagle,USA,EXK
EXN,EXIN   ,Poland,EXN
EXT,Nightexpress,Germany,EXT
EXY,SA Express   ,South Africa,EXY
EY,Etihad Airways,United Arab Emirates,EY
EZ,Sun Air Of Scandinavia   ,Denmark,EZ
EZA,Eznis Airways,Mongolia,EZA
EZE,Eastern Airways     ,United Kingdom,EZE
EZO,"Evergreen International Airlines, Inc.",USA,EZO
EZS,EasyJet Switzerland   ,Switzerland,EZS
F2,SafariLink,Kenya,F2
F3,Fly Excellent AB,Sweden,F3
F31,Aliways   ,Italy,F31
F4,Air Flamenco,Puerto Rico,F4
F5,Fly540 S.A,Angola,F5
F6,FaroeJet,Faroe Islands,F6
F7,Darwin Airline,Switzerland,F7
F8,Freedom Airlines   ,USA,F8
F9,Frontier Airlines Inc.,USA,F9
F91,Lynx Aviation,USA,F91
FA,FreshAer,Ireland Republic of,FA
FAE,Merlin Express     ,USA,FAE
FAH,Farner Air Transport Hungary   ,Hungary,FAH
FAO,Falcon Air Express   ,USA,FAO
FAT,Farnair Europe,Switzerland,FAT
FB,Bulgaria Air,Bulgaria,FB
FBO,"Fine Air Services, Inc.",USA,FBO
FBR,Belair Ile de France     ,France,FBR
FC,Falcon Express,United Arab Emirates,FC
FCA,First Choice Airways,United Kingdom,FCA
FCL,"Florida Coastal Airlines, Inc.",USA,FCL
FCN,Falcon Air   ,Sweden,FCN
FCO,Falcon Express,United Arab Emirates,FCO
FD,Thai AirAsia,Thailand,FD
FDM,Freedom Airlines,USA,FDM
FE,Far Eastern Air Transport,Chinese Taipei,FE
FEM,Flywell Airlines   ,Zambia,FEM
FF,Tower Air,USA,FF
FFM,Firefly,Malaysia,FFM
FG,Ariana Afghan Airlines,Afghanistan,FG
FH,Futura International Airways,Spain,FH
FHE,Hello,Switzerland,FHE
FI,Icelandair,Iceland,FI
FI1,Danish State Railways (DSB)   ,Denmark,FI1
FI2,Loftleidir Icelandic,Iceland,FI2
FJ,Fiji Airways,Fiji,FJ
FK,Africa West,Togo,FK
FKO,Africa West,Togo,FKO
FL,Airtran Airways,USA,FL
FL1,Greyhound Lines   ,USA,FL1
FLN,Express Air Services     ,South Africa,FLN
FLT,Flightline   ,United Kingdom,FLT
FM,Shanghai Airlines,China,FM
FN,Fastjet Tanzania Ltd,Tanzania United Republic of,FN
FNA,Air Iceland     ,Iceland,FNA
FO,Felix Airways,Yemen,FO
FO1,Sociedad de Transportes Aereos     ,Mozambique,FO1
FOF,Fred Olsen Air Transport     ,Norway,FOF
FOM,Freedom Air (NZ),New Zealand,FOM
FOS,Formosa Airlines                       ,Taiwan Province of China,FOS
FP,Freedom Air,Guam,FP
FQ,Brindabella Airlines,Australia,FQ
FR,Ryanair,Ireland Republic of,FR
FRN,First Nation Airways,Nigeria,FRN
FRS,Flandre Air     ,France,FRS
FS,Syphax Airlines,Tunisia,FS
FSO,Servicios Transportes Aereos Fueguinos,USA,FSO
FT,Farnair Switzerland AG,Switzerland,FT
FTA,Frontier Flying Service,USA,FTA
FTI,Fly FTi   ,Germany,FTI
FU,Air Littoral,France,FU
FU1,Air Littoral Riviera   ,France,FU1
FUA,Futura International Airways   ,Spain,FUA
FV,Rossiya Airlines,Russian Federation,FV
FW,IBEX Airlines,Japan,FW
FWQ,Flight West Airlines,Australia,FWQ
FX,FedEx,USA,FX
FXL,Fly Excellent AB,Sweden,FXL
FY,Firefly,Malaysia,FY
FZ,Flydubai,United Arab Emirates,FZ
G0,Ghana International,Ghana,G0
G2,Compania Aerea Viajes Guinea Airlines,Equatorial Guinea,G2
G3,VARIG-gol Airlines/vrg Linhas Aereas Sa,Brazil,G3
G4,Allegiant Air LLC,USA,G4
G5,China Express Airlines,China,G5
G6,Ghadames Air Transport,Libya,G6
G7,GoJet Airlines,USA,G7
G8,Go Air,India,G8
G9,Air Arabia,United Arab Emirates,G9
GA,Garuda Indonesia,Indonesia,GA
GAI,Gromov Air,Russian Federation,GAI
GB,"ABX Air, Inc.",USA,GB
GBB,Global Aviation,South Africa,GBB
GBC,Gabon Airlines Cargo,Gabon,GBC
GBK,Gabon Airlines Cargo,Gabon,GBK
GBO,"ABX Air, Inc. Usps",USA,GBO
GC,Global Feeder Services,USA,GC
GCE,Air Europa Canarias   ,Spain,GCE
GCR,GLACE - Greenlandair Charter   ,Greenland,GCR
GD,Grandstar Cargo International Airlines,China,GD
GE,Transasia Airways,Chinese Taipei,GE
GEB,Gee Bee Air   ,Greece,GEB
GEC,Lufthansa Cargo Airlines   ,Germany,GEC
GES,Gestair,Spain,GES
GEX,Georgian Express     ,Georgia,GEX
GF,Gulf Air,Bahrain,GF
GG,Sky Lease Cargo,USA,GG
GGN,Air Georgian Ltd dba Air Alliance,Canada,GGN
GGX,Guangxi Airlines   ,China,GGX
GH,Globus LLC,Russian Federation,GH
GI,Itek Air,Kyrgyzstan,GI
GIO,Regionnair     ,Canada,GIO
GJ,CDI Cargo Airlines Ltd,China,GJ
GJT,Gir Jet   ,Spain,GJT
GK,Jetstar Japan,Japan,GK
GL,Air Greenland,Greenland,GL
GM,Tri MG Airlines,Indonesia,GM
GMI,Germania Fluggesellschaft,Germany,GMI
GN,Air Gabon,Gabon,GN
GNT,bmi british midland commuter   ,United Kingdom,GNT
GO,Kuzu Airlines Cargo,Turkey,GO
GOT,Air Express   ,Sweden,GOT
GOW,Go Air,India,GOW
GP,Pantanal Linhas Aereas,Brazil,GP
GQ,Sky Express S.A.,Greece,GQ
GR,Aurigny Air Services,United Kingdom,GR
GRE,Air Scotland,United Kingdom,GRE
GRN,Greenair     ,Turkey,GRN
GRO,Gemini Air Cargo,USA,GRO
GS,TianJin Airlines,China,GS
GSS,Global Supply Systems   ,United Kingdom,GSS
GSW,Sky Wings,Greece,GSW
GT,GB Airways   ,Gibraltar,GT
GU,Aviateca,Guatemala,GU
GUJ,Gujarat Airways   ,India,GUJ
GV,"Grant Aviation, Inc.",USA,GV
GW,Airlines Of Kuban,Russian Federation,GW
GWL,Great Wall Airlines,China,GWL
GWO,Golden West Airlines,USA,GWO
GX,JetX,Iceland,GX
GXL,XL Airways Germany,Germany,GXL
GXO,Air Ontario   ,Canada,GXO
GY,Sky Bishkek,Kyrgyzstan,GY
GZ,Air Rarotonga,Cook Islands,GZ
H1,Hahn Air Systems,Germany,H1
H2,Sky Airline,Chile,H2
H3,Hermes Airlines,Greece,H3
H4,Heli Securite,France,H4
H5,Hola Airlines,Spain,H5
H6,Hageland Aviation Services Inc,USA,H6
H7,Eagle Air,Uganda,H7
H8,Auric Air Services,Tanzania United Republic of,H8
H9,Helitt Lineas Aereas,Spain,H9
HA,Hawaiian Airlines,USA,HA
HAS,Hokkaido Air System   ,Japan,HAS
HB,Asia Atlantic Airlines,Thailand,HB
HBR,Hebridean Air Services,United Kingdom,HBR
HC,Holidays Czech Airlines,Czech Republic,HC
HCB,Helenair (Barbados)   ,Barbados,HCB
HCC,Holidays Czech Airlines,Czech Republic,HCC
HCL,Helenair Corporation Ltd   ,Saint Lucia,HCL
HD,Hokkaido International Airlines,Japan,HD
HE,Luftfahrt Gesellschaft Walter,Germany,HE
HEJ,Hellas Jet,Greece,HEJ
HEL,Helicol   ,Colombia,HEL
HEX,Heathrow Express   ,United Kingdom,HEX
HF,Air Cote d'Ivoire,Cote D'Ivoire,HF
HFL,Heliflyg   ,Sweden,HFL
HG,NIKI,Austria,HG
HGH,Atlantic Air Lift,France,HGH
HH,Taban Air,Iran Islamic Republic of,HH
HI,Papillon Airways,USA,HI
HJ,Tasman Cargo Airlines Pty Ltd,Australia,HJ
HJO,Asian Express Airlines,Australia,HJO
HK,Hamburg Airways,Germany,HK
HKO,"Four Star Aviation, Inc","Virgin Islands, US",HKO
HLA,Heavylift Cargo Airlines   ,United Kingdom,HLA
HLN,Air Holland   ,Netherlands,HLN
HLQ,Harlequin Air   ,Japan,HLQ
HM,Air Seychelles,Seychelles,HM
HMA,Air Tahoma   ,USA,HMA
HN,Afghan Airlines,Afghanistan,HN
HO,Juneyao Airlines,China,HO
HOA,Baleares Link Express S.L.,Spain,HOA
HP,America West Airlines,USA,HP
HP1,America West Express     ,USA,HP1
HPY,Happy Air,Thailand,HPY
HQ,Thomas Cook Airlines Belgium N.V,Belgium,HQ
HR,Hahn Air,Germany,HR
HR1,Tell Air     ,Germany,HR1
HR2,Zozik Air,Germany,HR2
HS,DirektFlyg,Sweden,HS
HT,Hellenic Imperial Airways,Greece,HT
HTT,Air Tchad   ,Chad,HTT
HU,Hainan Airlines,China,HU
HUO,Northern Air Cargo,USA,HUO
HV,Transavia.com,Netherlands,HV
HW,North-Wright Airways Ltd.,Canada,HW
HW1,Hello,Switzerland,HW1
HWO,TransAustralian Air,Australia,HWO
HX,Hong Kong Airlines,Hong Kong (sar) China,HX
HXA,China Express Airlines,China,HXA
HXL,HollandExel   ,Netherlands,HXL
HY,Uzbekistan Airways,Uzbekistan,HY
HZ,Sakhalinskie Aviatrassy,Russian Federation,HZ
HZA,Horizon Airlines   ,Australia,HZA
I2,Iberia Express,Spain,I2
I3,Ata Airlines,Iran Islamic Republic of,I3
I4,Scott Air LLC,USA,I4
I5,Air Mali,Mali,I5
I6,Air Indus (pvt.) Ltd.,Pakistan,I6
I7,Paramount Airways,India,I7
I8,Izhavia,Russian Federation,I8
I9,Air Italy,Italy,I9
IA,Iraqi Airways,Iraq,IA
IAW,Iraqi Airways,Iraq,IAW
IB,Iberia,Spain,IB
IBB,Binter Canarias     ,Spain,IBB
IBT,Ibertrans   ,Spain,IBT
IC,Indian Airlines,India,IC
ICD,Icaro,Ecuador,ICD
ICL,Cargo Air Lines     ,Israel,ICL
ICN,Inter-Canadien   ,Canada,ICN
ID,Batik Air,Indonesia,ID
IDO,Airmax,USA,IDO
IE,Solomon Airlines,Solomon Islands,IE
IE1,SkyAirWorld,Australia,IE1
IE2,Strategic Alliance of Australia,Australia,IE2
IF,Islas Airways,Spain,IF
IFS,Italy First   ,Italy,IFS
IG,Meridiana fly S.p.A.,Italy,IG
IGA,SkyTaxi,Poland,IGA
IH,Irtysh-Air,Kazakhstan,IH
II,IBC Airways,USA,II
IIO,IBC Airways,USA,IIO
IJ,Great Wall Airlines,China,IJ
IK,Kaya Airlines,Mozambique,IK
IKM,Starbow Airlines,Ghana,IKM
IL,PT Trigana Air,Indonesia,IL
IM,menaJet,United Arab Emirates,IM
IN,InvestAvia,Kazakhstan,IN
INX,Inter Airlines,Turkey,INX
IO,IrAero,Russian Federation,IO
IOS,Isles of Scilly Skybus,United Kingdom,IOS
IP,Orbest,Spain,IP
IQ,Augsburg Airways   ,Germany,IQ
IR,Iran Air,Iran Islamic Republic of,IR
IRB,Iran Air Tours     ,Iran Islamic Republic of,IRB
IRO,CSA Air   ,USA,IRO
IRS,Asia Sahand Airlines,Iran Islamic Republic of,IRS
IRY,Eram Airlines,Iran Islamic Republic of,IRY
IS,"Island Airlines, Inc.",USA,IS
IT,Kingfisher Airlines,India,IT
IU,Ibis Airlines,Australia,IU
IV,Wind Jet,Italy,IV
IV1,BerlinJet   ,Germany,IV1
IW,Wings Air,Indonesia,IW
IWD,Iberworld   ,Spain,IWD
IX,Air India Express,India,IX
IY,Yemenia Yemen Airways,Yemen,IY
IZ,Arkia - Israeli Airlines,Israel,IZ
IZA,Izhavia,Russian Federation,IZA
J0,Jetlink Express,Kenya,J0
J1,Primair,USA,J1
J2,Azerbaijan Airlines,Azerbaijan,J2
J3,Northwestern Air Lease Ltd.,Canada,J3
J4,Badr Airlines,Sudan,J4
J5,Alaska Seaplane Service L.L.C.,USA,J5
J6,Jamaica Air Shuttle,Jamaica,J6
J7,Centre-Avia Airlines,Russian Federation,J7
J8,Berjaya Air,Malaysia,J8
J9,Jazeera Airways,Kuwait,J9
JA,BH Airlines,Bosnia and Herzegovina,JA
JAF,Jetairfly,Belgium,JAF
JAO,"Bankair, Inc. (US)",USA,JAO
JAZ,Japan Air Charter     ,Japan,JAZ
JB,Helijet International Inc,Canada,JB
JC,JAL Express,Japan,JC
JD,Beijing Capital Airlines,China,JD
JE,Mango,South Africa,JE
JEA,Jet Air Ltd.,Poland,JEA
JF,L.A.B Flying Services,USA,JF
JG,JetGo Australia,Australia,JG
JH,Fuji Dream Airlines,Japan,JH
JHM,JHM Cargo Airlines   ,Costa Rica,JHM
JHO,"Amerijet International, Inc.",USA,JHO
JI,Jade Cargo International,China,JI
JIA,PSA Airlines   ,USA,JIA
JJ,TAM Linhas Aereas,Brazil,JJ
JK,Spanair,Spain,JK
JK1,Orionair,Spain,JK1
JK2,Pronair,Spain,JK2
JL,Japan Airlines,Japan,JL
JL1,J-Air   ,Japan,JL1
JLJ,Japan Airlines Domestic   ,Japan,JLJ
JM,Air Jamaica,Jamaica,JM
JM1,Air Jamaica Express   ,Jamaica,JM1
JM2,Eastern Caribbean Express   ,Saint Lucia,JM2
JMX,Air Jamaica Express,Jamaica,JMX
JN,Livingston Air,Italy,JN
JO,Jalways,Japan,JO
JOR,Blue Air,Romania,JOR
JP,Adria Airways,Slovenia,JP
JQ,Jetstar Airways,Australia,JQ
JR,Joy Air,China,JR
JS,Air Koryo,Korea Democratic People's Republic of,JS
JT,Lion Air,Indonesia,JT
JT1,Wing Air   ,Indonesia,JT1
JTG,JetTime,Denmark,JTG
JTO,Transair,Australia,JTO
JU,Air Serbia,Serbia,JU
JUS,USA Jet Airlines   ,USA,JUS
JV,Bearskin Lake Air Services LP,Canada,JV
JW,Vanilla Air,Japan,JW
JWO,Arrow Air,USA,JWO
JX,Jett8 Airlines Cargo,Singapore,JX
JY,Air Turks & Caicos,Turks and Caicos Islands,JY
JZ,Skyways,Sweden,JZ
K2,Eurolot,Poland,K2
K3,Taquan Air Services,USA,K3
K31,Air One     ,USA,K31
K4,Kalitta Air,USA,K4
K5,Wings Of Alaska Seaport Airline,USA,K5
K6,Cambodia Angkor Air,Cambodia,K6
K7,Air KBZ,Myanmar,K7
K8,Kan Air,Thailand,K8
K9,TonleSap Airlines,Cambodia,K9
KA,Dragonair,Hong Kong (sar) China,KA
KAE,Kartika Airlines,Indonesia,KAE
KB,Druk Air,Bhutan,KB
KBR,Koral Blue,Egypt,KBR
KC,Air Astana,Kazakhstan,KC
KD,Kalstar Aviation,Indonesia,KD
KDA,Kendell Airlines   ,Australia,KDA
KDR,Royal Daisy Airlines,Uganda,KDR
KE,Korean Air,Korea Republic of,KE
KEA,Kalahari Express Airlines   ,Namibia,KEA
KF,Blue1,Finland,KF
KF1,Katmai Air Taxi   ,USA,KF1
KFA,Kelowna Flightcraft,Canada,KFA
KFL,Kenya Flamingo Airlines,Kenya,KFL
KG,Aerogaviota,Cuba,KG
KGA,Kyrghyzstan Airlines   ,Kyrgyzstan,KGA
KGC,Peach Air     ,United Kingdom,KGC
KH,Aloha Air Cargo,USA,KH
KHO,Aircompany Khors,Ukraine,KHO
KI,Adam Air,Indonesia,KI
KIS,Contactair   ,Germany,KIS
KJ,Air Incheon,Korea Republic of,KJ
KJI,Kaiken Lineas Aereas     ,Argentina,KJI
KK,Atlasjet Airlines,Turkey,KK
KL,KLM-Royal Dutch Airlines,Netherlands,KL
KL1,KLM Cargo Airlines   ,Netherlands,KL1
KL2,NS - Dutch Railways   ,Netherlands,KL2
KL3,Thalys International,Belgium,KL3
KLS,Kalstar Aviation,Indonesia,KLS
KM,Air Malta,Malta,KM
KMV,Komiinteravia,Russian Federation,KMV
KN,China United Airlines,China,KN
KND,Kan Air,Thailand,KND
KNE,NAS Air - National Air Service,Saudi Arabia,KNE
KNO,Winnport Air Cargo,Canada,KNO
KNX,Knighthawk Air Express   ,Canada,KNX
KO,Aircompany Khors,Ukraine,KO
KP,ASKY Airlines,Togo,KP
KQ,Kenya Airways,Kenya,KQ
KQ1,Aircraft Leasing Services   ,Kenya,KQ1
KR,Air Bishkek,Kyrgyzstan,KR
KRO,"Kitty Hawk Air Cargo, Inc.",USA,KRO
KS,Penair,USA,KS
KT,Katmai Air LLC,USA,KT
KTS,Kotlas Air Enterprises,Russian Federation,KTS
KU,Kuwait Airways,Kuwait,KU
KV,Asian Air Express,Tajikistan,KV
KW,Wataniya Airways,Kuwait,KW
KX,Cayman Airways,Cayman Islands,KX
KY,Kunming Airlines,China,KY
KYV,Kibris Turkish Airlines,Turkey,KYV
KZ,Nippon Cargo Airlines,Japan,KZ
KZO,Nippon Cargo Airlines,Japan,KZO
L2,Lynden Air Cargo,USA,L2
L21,Lynden Air Cargo                       ,USA,L21
L3,"DHL de Guatemala, S.A.",Guatemala,L3
L4,Air Liaison,Canada,L4
L41,Liaison,Canada,L41
L5,LAC Linea Aerea Cuencana,Ecuador,L5
L6,Mauritanian Airlines International,Mauritania,L6
L7,Linea Aerea Carguera de Colombia S.A.,Colombia,L7
L8,Equaflight Gabon,Gabon,L8
L9,Belle Air Europe,Italy,L9
LA,Lan Airlines,Chile,LA
LA1,LAN Peru     ,Peru,LA1
LAL,Labrador Airways   ,Canada,LAL
LAU,Lineas Aereas Suramericanas   ,Colombia,LAU
LB,Lloyd Aereo Boliviano,Bolivia,LB
LC,ECAIR,Congo,LC
LCO,LAC-Lineas Aereas Del Caribe Sa,Colombia,LCO
LD,AHK Air Hong Kong,Hong Kong (sar) China,LD
LDE,Lineas Aereas del Estado,Argentina,LDE
LDI,Lauda Air SpA     ,Italy,LDI
LDO,AHK Air Hong Kong,Hong Kong,LDO
LE,Laparkan Airways,USA,LE
LEO,Leopair     ,Switzerland,LEO
LF,Lao Central Airlines,Lao People's Democratic Republic,LF
LFA,Air Alfa   ,Turkey,LFA
LFM,AirLift Service,Macedonia Former Yugoslav Republic of,LFM
LFO,Lufthansa Cargo India,India,LFO
LG,Luxair,Luxembourg,LG
LG1,Conseta-Cirrus   ,Germany,LG1
LG2,Luxair Commuter   ,Luxembourg,LG2
